Trigrams and their frequencies:
('natural', 'language', 'processing'): 1
('language', 'processing', 'nlp'): 1
('processing', 'nlp', 'is'): 1
('nlp', 'is', 'a'): 1
('is', 'a', 'field'): 1
('a', 'field', 'of'): 1
('field', 'of', 'artificial'): 1
('of', 'artificial', 'intelligence'): 1
('artificial', 'intelligence', 'ai'): 1
('intelligence', 'ai', 'that'): 1
('ai', 'that', 'focuses'): 1
('that', 'focuses', 'on'): 1
('focuses', 'on', 'the'): 1
('on', 'the', 'interaction'): 1
('the', 'interaction', 'between'): 1
('interaction', 'between', 'computers'): 1
('between', 'computers', 'and'): 1
('computers', 'and', 'humans'): 1
('and', 'humans', 'through'): 1
('humans', 'through', 'natural'): 1
('through', 'natural', 'language'): 1
('language', 'the', 'ultimate'): 1
('the', 'ultimate', 'goal'): 1
('ultimate', 'goal', 'of'): 1
('goal', 'of', 'nlp'): 1
('of', 'nlp', 'is'): 1
('nlp', 'is', 'to'): 1
('is', 'to', 'enable'): 1
('to', 'enable', 'computers'): 1
('enable', 'computers', 'to'): 1
('computers', 'to', 'understand'): 1
('to', 'understand', 'interpret'): 1
('understand', 'interpret', 'and'): 1
('interpret', 'and', 'generate'): 1
('and', 'generate', 'human'): 1
('generate', 'human', 'language'): 1
('human', 'language', 'in'): 1
('language', 'in', 'a'): 1
('in', 'a', 'way'): 1
('a', 'way', 'that'): 1
('way', 'that', 'is'): 1
('that', 'is', 'both'): 1
('is', 'both', 'meaningful'): 1
('both', 'meaningful', 'and'): 1
('meaningful', 'and', 'useful'): 1
